,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,20.17,31.31,23.88,23.88,4961.61
1,add1,25.51,37.05,29.36,29.36,6152.11
2,add2,28.4,40.5,32.43,32.43,6752.91
3,mul0,5.04,20.17,12.6,12.09,6309.89
4,mul1,5.03,20.18,12.61,12.11,6327.21
5,mul2,4.96,19.71,12.34,11.84,6142.29
6,mul3,4.99,19.74,12.36,11.86,6222.03
7,reg_Q0,20.17,20.17,20.17,20.17,10028.0
8,reg_Q1,31.31,31.31,31.31,31.31,10956.0
9,reg_Q2,37.05,37.05,37.05,37.05,11441.0
10,reg_Y,40.5,40.5,40.5,40.5,11308.0
11,zfir_8bit,5.04,40.5,40.5,40.5,91761.2
