,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.19,49.88,48.75,48.75,9394.07
1,add1,49.06,49.94,49.35,49.35,9649.84
2,add2,49.11,50.11,49.44,49.44,9707.77
3,mul0,74.98,48.09,61.53,54.04,66154.5
4,mul1,75.04,48.3,61.67,54.16,66259.5
5,mul2,75.08,48.24,61.66,54.15,66270.6
6,mul3,75.02,48.29,61.65,54.14,66168.4
7,reg_Q0,48.09,48.09,48.09,48.09,12401.0
8,reg_Q1,49.88,49.88,49.88,49.88,12523.0
9,reg_Q2,49.94,49.94,49.94,49.94,12528.0
10,reg_Y,50.11,50.11,50.11,50.11,12010.0
11,zfir_8bit,74.98,50.11,50.11,50.11,372937.0
