,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,44.49,48.06,45.68,45.68,9033.53
1,add1,46.17,48.88,47.08,47.08,9298.4
2,add2,46.68,49.53,47.63,47.63,9379.34
3,mul0,33.33,44.51,38.92,35.59,31547.0
4,mul1,33.31,44.47,38.89,35.56,31920.1
5,mul2,33.39,44.29,38.84,35.5,31701.9
6,mul3,33.34,44.48,38.91,35.57,32002.0
7,reg_Q0,44.51,44.51,44.51,44.51,12094.0
8,reg_Q1,48.06,48.06,48.06,48.06,12372.0
9,reg_Q2,48.88,48.88,48.88,48.88,12440.0
10,reg_Y,49.53,49.53,49.53,49.53,11969.0
11,zfir_8bit,33.33,49.53,49.53,49.53,218915.0
