,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.54,48.94,47.34,47.34,9235.57
1,add1,47.82,49.46,48.37,48.37,9493.12
2,add2,47.99,49.74,48.57,48.57,9545.55
3,mul0,49.96,46.59,48.28,43.28,45642.9
4,mul1,50.08,46.49,48.29,43.28,45773.3
5,mul2,49.97,46.71,48.34,43.34,45453.7
6,mul3,50.09,46.53,48.31,43.29,45970.9
7,reg_Q0,46.59,46.59,46.59,46.59,12271.0
8,reg_Q1,48.94,48.94,48.94,48.94,12447.0
9,reg_Q2,49.46,49.46,49.46,49.46,12489.0
10,reg_Y,49.74,49.74,49.74,49.74,11983.0
11,zfir_8bit,49.96,49.74,49.74,49.74,281349.0
