,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.04,49.74,48.61,48.61,9356.3
1,add1,49.0,49.86,49.28,49.28,9643.65
2,add2,49.08,49.93,49.36,49.36,9681.93
3,mul0,74.95,48.07,61.51,54.02,65751.7
4,mul1,75.01,48.02,61.52,54.02,65911.7
5,mul2,74.98,48.26,61.62,54.14,65852.7
6,mul3,74.93,48.31,61.62,54.13,65964.3
7,reg_Q0,48.07,48.07,48.07,48.07,12400.0
8,reg_Q1,49.74,49.74,49.74,49.74,12511.0
9,reg_Q2,49.86,49.86,49.86,49.86,12521.0
10,reg_Y,49.93,49.93,49.93,49.93,11999.0
11,zfir_8bit,74.95,49.93,49.93,49.93,371442.0
