,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,30.28,40.27,33.61,33.61,6877.82
1,add1,35.28,44.22,38.26,38.26,7859.22
2,add2,37.24,45.79,40.09,40.09,8178.63
3,mul0,10.05,30.39,20.22,19.22,11461.5
4,mul1,9.99,30.18,20.09,19.1,11288.9
5,mul2,9.99,30.3,20.14,19.14,11267.1
6,mul3,10.1,30.26,20.18,19.17,11365.3
7,reg_Q0,30.39,30.39,30.39,30.39,10900.0
8,reg_Q1,40.27,40.27,40.27,40.27,11715.0
9,reg_Q2,44.22,44.22,44.22,44.22,12046.0
10,reg_Y,45.79,45.79,45.79,45.79,11697.0
11,zfir_8bit,10.05,45.79,45.79,45.79,121586.0
