,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,30.33,40.27,33.64,33.64,6882.75
1,add1,35.18,43.89,38.08,38.08,7820.62
2,add2,36.99,45.87,39.95,39.95,8142.95
3,mul0,9.91,30.33,20.12,19.13,11246.9
4,mul1,9.95,30.33,20.14,19.15,11365.9
5,mul2,9.96,30.09,20.03,19.02,11319.9
6,mul3,9.92,30.1,20.01,19.01,11348.2
7,reg_Q0,30.33,30.33,30.33,30.33,10893.0
8,reg_Q1,40.27,40.27,40.27,40.27,11718.0
9,reg_Q2,43.89,43.89,43.89,43.89,12021.0
10,reg_Y,45.87,45.87,45.87,45.87,11704.0
11,zfir_8bit,9.91,45.87,45.87,45.87,121356.0
