,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.07,49.37,47.84,47.84,9301.06
1,add1,48.07,49.98,48.71,48.71,9542.48
2,add2,48.49,49.92,48.96,48.96,9605.09
3,mul0,54.96,47.17,51.07,45.56,49838.4
4,mul1,54.96,46.98,50.97,45.45,49679.3
5,mul2,55.0,46.78,50.89,45.38,49303.6
6,mul3,55.06,47.0,51.03,45.51,49682.0
7,reg_Q0,47.17,47.17,47.17,47.17,12321.0
8,reg_Q1,49.37,49.37,49.37,49.37,12481.0
9,reg_Q2,49.98,49.98,49.98,49.98,12530.0
10,reg_Y,49.92,49.92,49.92,49.92,11997.0
11,zfir_8bit,54.96,49.92,49.92,49.92,299084.0
