,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,19.68,30.79,23.39,23.39,4855.84
1,add1,25.25,36.77,29.09,29.09,6109.97
2,add2,28.33,40.25,32.3,32.3,6735.59
3,mul0,4.96,19.69,12.33,11.83,6177.54
4,mul1,4.91,19.68,12.3,11.81,6089.21
5,mul2,4.94,19.72,12.33,11.84,6129.79
6,mul3,5.01,19.9,12.46,11.96,6229.44
7,reg_Q0,19.69,19.69,19.69,19.69,9987.0
8,reg_Q1,30.79,30.79,30.79,30.79,10915.0
9,reg_Q2,36.77,36.77,36.77,36.77,11417.0
10,reg_Y,40.25,40.25,40.25,40.25,11293.0
11,zfir_8bit,4.96,40.25,40.25,40.25,91081.6
