,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.51,49.19,47.4,47.4,9257.61
1,add1,47.8,49.6,48.4,48.4,9491.86
2,add2,48.1,49.78,48.66,48.66,9560.01
3,mul0,50.0,46.36,48.18,43.18,45049.7
4,mul1,49.96,46.66,48.31,43.31,45171.5
5,mul2,49.9,46.41,48.15,43.17,45072.6
6,mul3,50.03,46.61,48.32,43.32,45227.9
7,reg_Q0,46.36,46.36,46.36,46.36,12252.0
8,reg_Q1,49.19,49.19,49.19,49.19,12468.0
9,reg_Q2,49.6,49.6,49.6,49.6,12501.0
10,reg_Y,49.78,49.78,49.78,49.78,11986.0
11,zfir_8bit,50.0,49.78,49.78,49.78,279065.0
