,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,20.06,31.15,23.76,23.76,4934.27
1,add1,25.44,36.69,29.19,29.19,6115.36
2,add2,28.2,40.36,32.26,32.26,6729.43
3,mul0,5.0,20.1,12.55,12.05,6198.54
4,mul1,5.05,20.02,12.54,12.03,6164.86
5,mul2,4.95,19.74,12.34,11.85,6097.08
6,mul3,4.99,19.73,12.36,11.86,6153.18
7,reg_Q0,20.1,20.1,20.1,20.1,10025.0
8,reg_Q1,31.15,31.15,31.15,31.15,10946.0
9,reg_Q2,36.69,36.69,36.69,36.69,11412.0
10,reg_Y,40.36,40.36,40.36,40.36,11299.0
11,zfir_8bit,5.0,40.36,40.36,40.36,91227.5
