,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,19.69,31.06,23.48,23.48,4875.81
1,add1,25.29,36.75,29.11,29.11,6104.7
2,add2,28.25,40.32,32.27,32.27,6732.95
3,mul0,5.06,19.57,12.31,11.8,6104.24
4,mul1,4.98,19.83,12.4,11.9,6170.64
5,mul2,5.02,19.52,12.27,11.77,6153.42
6,mul3,5.0,19.75,12.37,11.88,6177.14
7,reg_Q0,19.57,19.57,19.57,19.57,9983.0
8,reg_Q1,31.06,31.06,31.06,31.06,10940.0
9,reg_Q2,36.75,36.75,36.75,36.75,11418.0
10,reg_Y,40.32,40.32,40.32,40.32,11296.0
11,zfir_8bit,5.06,40.32,40.32,40.32,91115.9
