,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.96,49.07,47.66,47.66,9272.64
1,add1,48.04,49.89,48.65,48.65,9542.62
2,add2,48.53,49.74,48.93,48.93,9607.03
3,mul0,54.99,47.13,51.06,45.57,49840.7
4,mul1,54.93,46.79,50.86,45.37,49650.8
5,mul2,54.97,47.01,50.99,45.5,49889.5
6,mul3,54.99,47.16,51.08,45.59,49630.3
7,reg_Q0,47.13,47.13,47.13,47.13,12319.0
8,reg_Q1,49.07,49.07,49.07,49.07,12455.0
9,reg_Q2,49.89,49.89,49.89,49.89,12525.0
10,reg_Y,49.74,49.74,49.74,49.74,11985.0
11,zfir_8bit,54.99,49.74,49.74,49.74,299508.0
