,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,44.27,47.99,45.51,45.51,9003.61
1,add1,46.07,48.97,47.04,47.04,9288.3
2,add2,46.64,49.58,47.62,47.62,9371.46
3,mul0,33.28,44.12,38.7,35.38,31913.2
4,mul1,33.26,44.41,38.84,35.51,32109.7
5,mul2,33.22,44.15,38.69,35.36,31727.0
6,mul3,33.2,44.31,38.75,35.43,31836.0
7,reg_Q0,44.12,44.12,44.12,44.12,12059.0
8,reg_Q1,47.99,47.99,47.99,47.99,12367.0
9,reg_Q2,48.97,48.97,48.97,48.97,12446.0
10,reg_Y,49.58,49.58,49.58,49.58,11975.0
11,zfir_8bit,33.28,49.58,49.58,49.58,219220.0
