,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.1,50.04,48.75,48.75,9404.31
1,add1,49.04,49.85,49.31,49.31,9662.96
2,add2,48.97,50.01,49.32,49.32,9693.37
3,mul0,74.86,48.03,61.45,53.96,66058.3
4,mul1,74.95,48.17,61.56,54.07,66230.7
5,mul2,74.95,48.05,61.5,54.01,66055.2
6,mul3,74.98,48.1,61.54,54.04,66178.4
7,reg_Q0,48.03,48.03,48.03,48.03,12397.0
8,reg_Q1,50.04,50.04,50.04,50.04,12537.0
9,reg_Q2,49.85,49.85,49.85,49.85,12523.0
10,reg_Y,50.01,50.01,50.01,50.01,12004.0
11,zfir_8bit,74.86,50.01,50.01,50.01,372578.0
