,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.59,49.03,47.4,47.4,9246.02
1,add1,47.83,49.6,48.42,48.42,9500.45
2,add2,48.16,49.88,48.73,48.73,9571.01
3,mul0,50.16,46.51,48.33,43.31,45667.8
4,mul1,50.1,46.67,48.39,43.36,45609.1
5,mul2,50.1,46.64,48.37,43.36,45297.1
6,mul3,50.04,46.73,48.38,43.37,45647.0
7,reg_Q0,46.51,46.51,46.51,46.51,12264.0
8,reg_Q1,49.03,49.03,49.03,49.03,12453.0
9,reg_Q2,49.6,49.6,49.6,49.6,12499.0
10,reg_Y,49.88,49.88,49.88,49.88,11995.0
11,zfir_8bit,50.16,49.88,49.88,49.88,280819.0
