,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.85,37.48,43.73,43.73,7632.95
1,add1,40.61,43.72,41.64,41.64,8578.58
2,add2,49.97,56.21,52.05,52.05,11728.6
3,mul0,99.96,37.49,68.72,58.73,85446.2
4,mul1,99.96,56.23,78.09,68.1,87338.9
5,mul2,99.96,43.73,71.85,61.85,86011.4
6,mul3,99.96,56.23,78.09,68.1,86585.0
7,reg_Q0,37.49,37.49,37.49,37.49,11743.0
8,reg_Q1,37.48,37.48,37.48,37.48,11737.0
9,reg_Q2,43.72,43.72,43.72,43.72,12293.0
10,reg_Y,56.21,56.21,56.21,56.21,12495.0
11,zfir_8bit,99.96,56.21,56.21,56.21,460249.0
