,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,42.01,46.7,43.58,43.58,8703.83
1,add1,44.43,48.42,45.76,45.76,9128.09
2,add2,45.22,49.13,46.52,46.52,9242.67
3,mul0,25.0,42.05,33.52,31.02,24744.4
4,mul1,24.94,41.99,33.46,30.96,24607.8
5,mul2,24.97,42.17,33.57,31.07,24510.7
6,mul3,25.07,42.02,33.54,31.03,24670.1
7,reg_Q0,42.05,42.05,42.05,42.05,11885.0
8,reg_Q1,46.7,46.7,46.7,46.7,12256.0
9,reg_Q2,48.42,48.42,48.42,48.42,12398.0
10,reg_Y,49.13,49.13,49.13,49.13,11939.0
11,zfir_8bit,25.0,49.13,49.13,49.13,186303.0
