,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.58,48.75,47.31,47.31,9220.37
1,add1,47.64,49.69,48.32,48.32,9477.77
2,add2,48.07,49.7,48.62,48.62,9530.08
3,mul0,50.0,46.57,48.28,43.26,45069.6
4,mul1,49.9,46.6,48.25,43.26,45337.4
5,mul2,49.81,46.53,48.17,43.19,45196.7
6,mul3,49.93,46.46,48.2,43.19,45271.5
7,reg_Q0,46.57,46.57,46.57,46.57,12269.0
8,reg_Q1,48.75,48.75,48.75,48.75,12430.0
9,reg_Q2,49.69,49.69,49.69,49.69,12508.0
10,reg_Y,49.7,49.7,49.7,49.7,11982.0
11,zfir_8bit,50.0,49.7,49.7,49.7,279298.0
