,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,49.98,37.48,45.81,45.81,6993.71
1,add1,43.73,24.99,37.48,37.48,6016.86
2,add2,37.48,49.97,41.64,41.64,8277.84
3,mul0,99.96,49.98,74.97,64.97,86469.0
4,mul1,99.96,49.98,74.97,64.97,86726.2
5,mul2,99.96,49.98,74.97,64.97,86183.5
6,mul3,99.96,49.98,74.97,64.97,86445.0
7,reg_Q0,49.98,49.98,49.98,49.98,12707.0
8,reg_Q1,37.48,37.48,37.48,37.48,11749.0
9,reg_Q2,24.99,24.99,24.99,24.99,10819.0
10,reg_Y,49.97,49.97,49.97,49.97,12036.0
11,zfir_8bit,99.96,49.97,49.97,49.97,453083.0
