,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,39.71,45.93,41.78,41.78,8425.06
1,add1,42.76,47.76,44.43,44.43,8930.9
2,add2,43.66,48.83,45.38,45.38,9091.13
3,mul0,20.09,39.55,29.82,27.81,20181.2
4,mul1,20.0,39.88,29.94,27.94,20336.8
5,mul2,19.97,39.6,29.79,27.8,20431.8
6,mul3,19.9,39.55,29.73,27.75,20349.5
7,reg_Q0,39.55,39.55,39.55,39.55,11676.0
8,reg_Q1,45.93,45.93,45.93,45.93,12193.0
9,reg_Q2,47.76,47.76,47.76,47.76,12344.0
10,reg_Y,48.83,48.83,48.83,48.83,11919.0
11,zfir_8bit,20.09,48.83,48.83,48.83,166324.0
