,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,39.61,45.82,41.68,41.68,8408.06
1,add1,42.69,47.78,44.39,44.39,8920.04
2,add2,43.77,48.33,45.29,45.29,9069.58
3,mul0,19.94,39.59,29.77,27.77,20403.6
4,mul1,19.88,39.63,29.76,27.78,20374.7
5,mul2,19.92,39.56,29.74,27.75,20571.9
6,mul3,20.01,39.77,29.89,27.9,20492.4
7,reg_Q0,39.59,39.59,39.59,39.59,11679.0
8,reg_Q1,45.82,45.82,45.82,45.82,12187.0
9,reg_Q2,47.78,47.78,47.78,47.78,12348.0
10,reg_Y,48.33,48.33,48.33,48.33,11883.0
11,zfir_8bit,19.94,48.33,48.33,48.33,166762.0
