,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.72,49.17,47.53,47.53,9264.89
1,add1,47.88,49.57,48.44,48.44,9507.63
2,add2,48.15,49.77,48.69,48.69,9560.98
3,mul0,49.95,46.81,48.38,43.39,45308.4
4,mul1,49.85,46.63,48.24,43.27,45647.2
5,mul2,49.96,46.6,48.28,43.29,45677.1
6,mul3,49.98,46.73,48.36,43.37,45738.3
7,reg_Q0,46.81,46.81,46.81,46.81,12291.0
8,reg_Q1,49.17,49.17,49.17,49.17,12466.0
9,reg_Q2,49.57,49.57,49.57,49.57,12496.0
10,reg_Y,49.77,49.77,49.77,49.77,11987.0
11,zfir_8bit,49.95,49.77,49.77,49.77,280958.0
