,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,49.05,50.74,49.61,49.61,9531.1
1,add1,49.85,49.59,49.76,49.76,9719.72
2,add2,49.38,49.99,49.58,49.58,9718.94
3,mul0,89.99,48.91,69.45,60.44,78395.8
4,mul1,89.94,49.19,69.57,60.57,78484.7
5,mul2,89.94,48.96,69.45,60.45,78521.9
6,mul3,89.96,49.17,69.56,60.56,78464.1
7,reg_Q0,48.91,48.91,48.91,48.91,12472.0
8,reg_Q1,50.74,50.74,50.74,50.74,12596.0
9,reg_Q2,49.59,49.59,49.59,49.59,12501.0
10,reg_Y,49.99,49.99,49.99,49.99,12003.0
11,zfir_8bit,89.99,49.99,49.99,49.99,427544.0
