,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.65,49.83,48.38,48.38,9355.45
1,add1,48.74,49.74,49.07,49.07,9616.57
2,add2,48.79,49.85,49.14,49.14,9646.45
3,mul0,65.72,47.74,56.73,50.16,58323.6
4,mul1,65.75,47.57,56.66,50.09,58504.5
5,mul2,65.79,47.65,56.72,50.14,58551.7
6,mul3,65.8,47.85,56.82,50.23,58371.8
7,reg_Q0,47.74,47.74,47.74,47.74,12369.0
8,reg_Q1,49.83,49.83,49.83,49.83,12519.0
9,reg_Q2,49.74,49.74,49.74,49.74,12513.0
10,reg_Y,49.85,49.85,49.85,49.85,11994.0
11,zfir_8bit,65.72,49.85,49.85,49.85,338364.0
