,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,30.3,40.43,33.67,33.67,6905.55
1,add1,35.13,44.14,38.14,38.14,7839.31
2,add2,37.22,45.94,40.13,40.13,8182.14
3,mul0,10.05,30.38,20.22,19.21,11411.8
4,mul1,10.06,30.21,20.14,19.13,11334.2
5,mul2,9.93,29.85,19.89,18.9,11229.2
6,mul3,9.99,30.3,20.15,19.14,11327.5
7,reg_Q0,30.38,30.38,30.38,30.38,10895.0
8,reg_Q1,40.43,40.43,40.43,40.43,11727.0
9,reg_Q2,44.14,44.14,44.14,44.14,12041.0
10,reg_Y,45.94,45.94,45.94,45.94,11707.0
11,zfir_8bit,10.05,45.94,45.94,45.94,121525.0
