,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,53.1,49.98,52.06,52.06,9442.83
1,add1,53.1,74.96,60.38,60.38,12037.3
2,add2,59.34,56.21,58.3,58.3,11302.4
3,mul0,99.96,43.73,71.85,61.85,86338.4
4,mul1,99.96,62.48,81.22,71.22,87265.0
5,mul2,99.96,56.23,78.09,68.1,87028.9
6,mul3,99.96,43.73,71.85,61.85,86048.4
7,reg_Q0,43.73,43.73,43.73,43.73,12269.0
8,reg_Q1,49.98,49.98,49.98,49.98,12773.0
9,reg_Q2,74.96,74.96,74.96,74.96,14749.0
10,reg_Y,56.21,56.21,56.21,56.21,12486.0
11,zfir_8bit,99.96,56.21,56.21,56.21,470403.0
