,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.75,49.49,48.33,48.33,9339.5
1,add1,48.58,49.81,48.99,48.99,9603.59
2,add2,48.84,49.86,49.18,49.18,9642.05
3,mul0,65.78,47.73,56.75,50.19,58466.3
4,mul1,65.78,47.78,56.78,50.19,58339.5
5,mul2,65.79,47.66,56.73,50.15,58715.8
6,mul3,65.9,47.88,56.89,50.31,58812.9
7,reg_Q0,47.73,47.73,47.73,47.73,12368.0
8,reg_Q1,49.49,49.49,49.49,49.49,12491.0
9,reg_Q2,49.81,49.81,49.81,49.81,12517.0
10,reg_Y,49.86,49.86,49.86,49.86,11994.0
11,zfir_8bit,65.78,49.86,49.86,49.86,338906.0
