,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,44.63,48.21,45.83,45.83,9052.02
1,add1,46.27,49.01,47.18,47.18,9290.21
2,add2,46.65,49.48,47.59,47.59,9360.2
3,mul0,33.39,44.75,39.07,35.74,32018.5
4,mul1,33.35,44.52,38.94,35.59,32025.2
5,mul2,33.22,44.33,38.78,35.44,31819.2
6,mul3,33.37,44.3,38.83,35.49,32066.6
7,reg_Q0,44.75,44.75,44.75,44.75,12112.0
8,reg_Q1,48.21,48.21,48.21,48.21,12385.0
9,reg_Q2,49.01,49.01,49.01,49.01,12450.0
10,reg_Y,49.48,49.48,49.48,49.48,11964.0
11,zfir_8bit,33.39,49.48,49.48,49.48,219700.0
