,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.99,50.51,49.5,49.5,9505.05
1,add1,49.76,49.73,49.75,49.75,9715.05
2,add2,49.31,50.13,49.59,49.59,9716.42
3,mul0,90.02,48.64,69.33,60.33,78283.5
4,mul1,89.97,49.35,69.66,60.66,78395.5
5,mul2,89.92,49.0,69.46,60.48,78152.7
6,mul3,89.94,48.9,69.42,60.43,78057.7
7,reg_Q0,48.64,48.64,48.64,48.64,12447.0
8,reg_Q1,50.51,50.51,50.51,50.51,12575.0
9,reg_Q2,49.73,49.73,49.73,49.73,12515.0
10,reg_Y,50.13,50.13,50.13,50.13,12013.0
11,zfir_8bit,90.02,50.13,50.13,50.13,426515.0
