,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.69,49.77,48.39,48.39,9363.31
1,add1,48.73,50.07,49.17,49.17,9629.04
2,add2,48.88,49.89,49.22,49.22,9653.91
3,mul0,65.73,47.77,56.75,50.19,58404.7
4,mul1,65.82,47.62,56.72,50.15,58553.6
5,mul2,65.83,47.69,56.76,50.18,58737.1
6,mul3,65.88,47.7,56.79,50.21,58690.4
7,reg_Q0,47.77,47.77,47.77,47.77,12374.0
8,reg_Q1,49.77,49.77,49.77,49.77,12515.0
9,reg_Q2,50.07,50.07,50.07,50.07,12541.0
10,reg_Y,49.89,49.89,49.89,49.89,11995.0
11,zfir_8bit,65.73,49.89,49.89,49.89,339072.0
