,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.15,50.17,48.82,48.82,9407.33
1,add1,49.14,49.64,49.3,49.3,9645.37
2,add2,48.83,49.97,49.21,49.21,9667.07
3,mul0,74.81,48.01,61.41,53.94,65729.8
4,mul1,74.88,48.3,61.59,54.11,65841.1
5,mul2,74.75,48.1,61.43,53.95,65776.2
6,mul3,74.93,48.02,61.48,53.99,65754.2
7,reg_Q0,48.01,48.01,48.01,48.01,12395.0
8,reg_Q1,50.17,50.17,50.17,50.17,12549.0
9,reg_Q2,49.64,49.64,49.64,49.64,12504.0
10,reg_Y,49.97,49.97,49.97,49.97,12002.0
11,zfir_8bit,74.81,49.97,49.97,49.97,371074.0
