,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,39.65,45.62,41.64,41.64,8379.9
1,add1,42.79,47.79,44.46,44.46,8938.32
2,add2,43.84,48.82,45.5,45.5,9103.1
3,mul0,19.98,39.61,29.8,27.79,20388.7
4,mul1,19.98,39.68,29.83,27.83,20309.7
5,mul2,19.91,39.96,29.93,27.93,20274.3
6,mul3,19.96,39.9,29.93,27.92,20405.9
7,reg_Q0,39.61,39.61,39.61,39.61,11678.0
8,reg_Q1,45.62,45.62,45.62,45.62,12165.0
9,reg_Q2,47.79,47.79,47.79,47.79,12347.0
10,reg_Y,48.82,48.82,48.82,48.82,11918.0
11,zfir_8bit,19.98,48.82,48.82,48.82,166346.0
