,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,42.26,46.98,43.84,43.84,8761.25
1,add1,44.43,48.51,45.79,45.79,9134.49
2,add2,45.33,49.04,46.56,46.56,9240.17
3,mul0,25.05,42.36,33.7,31.19,25071.4
4,mul1,24.89,42.18,33.53,31.04,24791.7
5,mul2,25.01,41.88,33.45,30.94,24772.1
6,mul3,24.88,42.15,33.52,31.02,24837.9
7,reg_Q0,42.36,42.36,42.36,42.36,11908.0
8,reg_Q1,46.98,46.98,46.98,46.98,12282.0
9,reg_Q2,48.51,48.51,48.51,48.51,12409.0
10,reg_Y,49.04,49.04,49.04,49.04,11933.0
11,zfir_8bit,25.05,49.04,49.04,49.04,187341.0
