,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.15,49.93,48.74,48.74,9393.64
1,add1,48.97,49.97,49.3,49.3,9645.39
2,add2,49.05,50.06,49.38,49.38,9692.17
3,mul0,75.02,48.15,61.59,54.08,65971.0
4,mul1,74.88,48.15,61.51,54.01,65937.1
5,mul2,74.92,48.01,61.47,53.96,66098.1
6,mul3,74.96,48.14,61.55,54.04,65971.2
7,reg_Q0,48.15,48.15,48.15,48.15,12405.0
8,reg_Q1,49.93,49.93,49.93,49.93,12529.0
9,reg_Q2,49.97,49.97,49.97,49.97,12531.0
10,reg_Y,50.06,50.06,50.06,50.06,12009.0
11,zfir_8bit,75.02,50.06,50.06,50.06,372023.0
