,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,68.72,49.98,62.47,62.47,10930.5
1,add1,53.1,37.48,47.89,47.89,10452.2
2,add2,49.97,56.21,52.05,52.05,10510.9
3,mul0,99.96,74.97,87.47,77.47,88725.4
4,mul1,99.96,62.48,81.22,71.22,87882.9
5,mul2,99.96,56.23,78.09,68.1,86587.4
6,mul3,99.96,62.48,81.22,71.22,87282.5
7,reg_Q0,74.97,74.97,74.97,74.97,14783.0
8,reg_Q1,49.98,49.98,49.98,49.98,12802.0
9,reg_Q2,37.48,37.48,37.48,37.48,11784.0
10,reg_Y,56.21,56.21,56.21,56.21,12489.0
11,zfir_8bit,99.96,56.21,56.21,56.21,472893.0
