,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.11,50.01,48.75,48.75,9394.85
1,add1,49.02,50.07,49.37,49.37,9667.45
2,add2,49.09,49.7,49.29,49.29,9648.37
3,mul0,75.0,48.06,61.53,54.05,66212.4
4,mul1,75.09,48.17,61.63,54.13,66255.7
5,mul2,75.02,48.04,61.53,54.04,66264.7
6,mul3,75.0,48.11,61.55,54.07,66270.0
7,reg_Q0,48.06,48.06,48.06,48.06,12397.0
8,reg_Q1,50.01,50.01,50.01,50.01,12534.0
9,reg_Q2,50.07,50.07,50.07,50.07,12540.0
10,reg_Y,49.7,49.7,49.7,49.7,11982.0
11,zfir_8bit,75.0,49.7,49.7,49.7,373035.0
