,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,19.88,31.03,23.6,23.6,4909.79
1,add1,25.37,36.93,29.22,29.22,6133.03
2,add2,28.43,40.32,32.4,32.4,6753.46
3,mul0,4.96,19.71,12.33,11.84,6253.65
4,mul1,5.08,20.06,12.57,12.06,6258.78
5,mul2,5.01,19.7,12.36,11.87,6125.52
6,mul3,5.01,19.94,12.47,11.98,6278.11
7,reg_Q0,19.71,19.71,19.71,19.71,9993.0
8,reg_Q1,31.03,31.03,31.03,31.03,10936.0
9,reg_Q2,36.93,36.93,36.93,36.93,11432.0
10,reg_Y,40.32,40.32,40.32,40.32,11297.0
11,zfir_8bit,4.96,40.32,40.32,40.32,91528.5
