,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,42.09,46.93,43.7,43.7,8717.62
1,add1,44.57,48.27,45.8,45.8,9129.92
2,add2,45.1,49.05,46.42,46.42,9221.35
3,mul0,24.84,42.24,33.54,31.06,24521.0
4,mul1,25.09,41.94,33.51,31.0,24949.0
5,mul2,24.9,42.22,33.56,31.06,24745.0
6,mul3,24.99,41.94,33.46,30.96,24573.9
7,reg_Q0,42.24,42.24,42.24,42.24,11901.0
8,reg_Q1,46.93,46.93,46.93,46.93,12278.0
9,reg_Q2,48.27,48.27,48.27,48.27,12387.0
10,reg_Y,49.05,49.05,49.05,49.05,11935.0
11,zfir_8bit,24.84,49.05,49.05,49.05,186555.0
