,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.79,49.57,48.38,48.38,9350.22
1,add1,48.7,49.97,49.12,49.12,9632.47
2,add2,48.87,49.95,49.23,49.23,9658.27
3,mul0,65.83,47.92,56.87,50.29,58750.1
4,mul1,65.72,47.66,56.69,50.12,58493.1
5,mul2,65.71,47.83,56.77,50.19,58772.1
6,mul3,65.97,47.79,56.88,50.28,58643.2
7,reg_Q0,47.92,47.92,47.92,47.92,12386.0
8,reg_Q1,49.57,49.57,49.57,49.57,12496.0
9,reg_Q2,49.97,49.97,49.97,49.97,12533.0
10,reg_Y,49.95,49.95,49.95,49.95,11999.0
11,zfir_8bit,65.83,49.95,49.95,49.95,339328.0
