,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.08,49.79,48.65,48.65,9373.14
1,add1,48.98,50.0,49.32,49.32,9653.1
2,add2,49.09,49.86,49.35,49.35,9680.7
3,mul0,74.93,48.25,61.59,54.1,65891.0
4,mul1,74.85,47.93,61.39,53.89,65889.8
5,mul2,74.96,48.16,61.56,54.07,65848.6
6,mul3,74.78,48.18,61.48,53.99,66065.3
7,reg_Q0,48.25,48.25,48.25,48.25,12414.0
8,reg_Q1,49.79,49.79,49.79,49.79,12517.0
9,reg_Q2,50.0,50.0,50.0,50.0,12536.0
10,reg_Y,49.86,49.86,49.86,49.86,11996.0
11,zfir_8bit,74.93,49.86,49.86,49.86,371678.0
