,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,43.73,56.22,47.89,47.89,9112.0
1,add1,56.22,49.97,54.14,54.14,10619.4
2,add2,46.85,81.19,58.3,58.3,12203.0
3,mul0,99.96,49.98,74.97,64.97,86380.7
4,mul1,99.96,37.49,68.72,58.73,85691.2
5,mul2,99.96,56.23,78.09,68.1,87035.1
6,mul3,99.96,43.73,71.85,61.85,85235.5
7,reg_Q0,49.98,49.98,49.98,49.98,12725.0
8,reg_Q1,56.22,56.22,56.22,56.22,13246.0
9,reg_Q2,49.97,49.97,49.97,49.97,12796.0
10,reg_Y,81.19,81.19,81.19,81.19,14295.0
11,zfir_8bit,99.96,81.19,81.19,81.19,468003.0
