,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,56.23,62.47,58.31,58.31,11503.3
1,add1,53.1,56.22,54.14,54.14,9294.07
2,add2,53.1,56.21,54.13,54.13,10825.1
3,mul0,99.96,49.98,74.97,64.97,86210.7
4,mul1,99.96,62.48,81.22,71.22,88143.0
5,mul2,99.96,43.73,71.85,61.85,85783.4
6,mul3,99.96,49.98,74.97,64.97,86263.4
7,reg_Q0,49.98,49.98,49.98,49.98,12748.0
8,reg_Q1,62.47,62.47,62.47,62.47,13726.0
9,reg_Q2,56.22,56.22,56.22,56.22,13275.0
10,reg_Y,56.21,56.21,56.21,56.21,12489.0
11,zfir_8bit,99.96,56.21,56.21,56.21,468923.0
