,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,19.99,30.96,23.65,23.65,4934.29
1,add1,25.45,36.81,29.24,29.24,6123.47
2,add2,28.51,40.13,32.38,32.38,6731.39
3,mul0,4.99,20.29,12.64,12.14,6333.36
4,mul1,4.89,19.69,12.29,11.8,6067.09
5,mul2,5.02,19.93,12.48,11.97,6236.24
6,mul3,4.99,20.2,12.6,12.1,6352.15
7,reg_Q0,20.29,20.29,20.29,20.29,10039.0
8,reg_Q1,30.96,30.96,30.96,30.96,10929.0
9,reg_Q2,36.81,36.81,36.81,36.81,11421.0
10,reg_Y,40.13,40.13,40.13,40.13,11284.0
11,zfir_8bit,4.99,40.13,40.13,40.13,91598.9
