,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,49.13,50.81,49.69,49.69,9535.89
1,add1,49.99,49.7,49.89,49.89,9720.94
2,add2,49.4,50.05,49.62,49.62,9729.9
3,mul0,90.01,49.05,69.53,60.54,78356.2
4,mul1,89.96,49.22,69.59,60.6,78447.3
5,mul2,90.04,49.18,69.61,60.6,78378.3
6,mul3,89.89,49.1,69.5,60.51,78312.6
7,reg_Q0,49.05,49.05,49.05,49.05,12483.0
8,reg_Q1,50.81,50.81,50.81,50.81,12601.0
9,reg_Q2,49.7,49.7,49.7,49.7,12512.0
10,reg_Y,50.05,50.05,50.05,50.05,12007.0
11,zfir_8bit,90.01,50.05,50.05,50.05,427227.0
