,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,19.81,30.58,23.4,23.4,4855.38
1,add1,25.16,36.57,28.96,28.96,6066.94
2,add2,27.94,40.02,31.96,31.96,6652.42
3,mul0,4.97,19.85,12.41,11.92,6075.68
4,mul1,4.97,19.77,12.37,11.88,6035.41
5,mul2,5.01,19.74,12.38,11.88,6037.58
6,mul3,4.92,19.31,12.11,11.62,5802.82
7,reg_Q0,19.85,19.85,19.85,19.85,10003.0
8,reg_Q1,30.58,30.58,30.58,30.58,10898.0
9,reg_Q2,36.57,36.57,36.57,36.57,11402.0
10,reg_Y,40.02,40.02,40.02,40.02,11275.0
11,zfir_8bit,4.97,40.02,40.02,40.02,90252.8
