,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,18.74,43.73,27.07,27.07,5664.16
1,add1,49.98,43.72,47.89,47.89,8492.08
2,add2,46.85,62.46,52.05,52.05,9759.94
3,mul0,99.96,12.5,56.23,46.23,83065.5
4,mul1,99.96,24.99,62.48,52.48,84165.7
5,mul2,99.96,56.23,78.09,68.1,86645.9
6,mul3,99.96,49.98,74.97,64.97,86981.6
7,reg_Q0,12.5,12.5,12.5,12.5,9772.0
8,reg_Q1,43.73,43.73,43.73,43.73,12281.0
9,reg_Q2,43.72,43.72,43.72,43.72,12270.0
10,reg_Y,62.46,62.46,62.46,62.46,12942.0
11,zfir_8bit,99.96,62.46,62.46,62.46,450700.0
