,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,42.03,46.82,43.63,43.63,8727.64
1,add1,44.51,48.77,45.93,45.93,9167.77
2,add2,45.32,49.04,46.56,46.56,9237.18
3,mul0,24.98,41.98,33.48,30.98,24778.7
4,mul1,25.01,42.09,33.55,31.06,24926.5
5,mul2,25.08,42.2,33.64,31.13,25091.8
6,mul3,24.86,41.89,33.38,30.89,24758.8
7,reg_Q0,41.98,41.98,41.98,41.98,11879.0
8,reg_Q1,46.82,46.82,46.82,46.82,12268.0
9,reg_Q2,48.77,48.77,48.77,48.77,12430.0
10,reg_Y,49.04,49.04,49.04,49.04,11934.0
11,zfir_8bit,24.98,49.04,49.04,49.04,187407.0
