,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.85,50.73,49.48,49.48,9493.2
1,add1,49.99,49.76,49.92,49.92,9739.47
2,add2,49.35,50.19,49.63,49.63,9732.6
3,mul0,89.87,48.68,69.28,60.3,78124.5
4,mul1,90.02,49.04,69.53,60.54,78469.4
5,mul2,89.85,49.26,69.55,60.57,78266.3
6,mul3,89.94,48.93,69.44,60.44,78450.1
7,reg_Q0,48.68,48.68,48.68,48.68,12452.0
8,reg_Q1,50.73,50.73,50.73,50.73,12596.0
9,reg_Q2,49.76,49.76,49.76,49.76,12515.0
10,reg_Y,50.19,50.19,50.19,50.19,12018.0
11,zfir_8bit,89.87,50.19,50.19,50.19,426980.0
