,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.83,49.41,47.69,47.69,9287.94
1,add1,48.13,49.69,48.65,48.65,9526.54
2,add2,48.23,49.82,48.76,48.76,9562.16
3,mul0,55.04,46.98,51.01,45.52,49814.2
4,mul1,54.96,46.68,50.82,45.34,49700.3
5,mul2,55.01,46.85,50.93,45.43,49584.7
6,mul3,55.05,46.77,50.91,45.43,49836.5
7,reg_Q0,46.98,46.98,46.98,46.98,12304.0
8,reg_Q1,49.41,49.41,49.41,49.41,12485.0
9,reg_Q2,49.69,49.69,49.69,49.69,12508.0
10,reg_Y,49.82,49.82,49.82,49.82,11990.0
11,zfir_8bit,55.04,49.82,49.82,49.82,299406.0
