,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.52,49.65,48.23,48.23,9339.55
1,add1,48.56,50.13,49.08,49.08,9613.64
2,add2,48.85,50.08,49.26,49.26,9669.89
3,mul0,65.82,47.48,56.65,50.08,58343.0
4,mul1,65.85,47.57,56.71,50.13,58511.8
5,mul2,65.82,47.48,56.65,50.09,58285.1
6,mul3,65.78,47.58,56.68,50.12,58654.5
7,reg_Q0,47.48,47.48,47.48,47.48,12347.0
8,reg_Q1,49.65,49.65,49.65,49.65,12505.0
9,reg_Q2,50.13,50.13,50.13,50.13,12543.0
10,reg_Y,50.08,50.08,50.08,50.08,12010.0
11,zfir_8bit,65.82,50.08,50.08,50.08,338443.0
