,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,48.91,51.04,49.62,49.62,9527.79
1,add1,49.89,49.84,49.87,49.87,9704.8
2,add2,49.5,49.97,49.66,49.66,9727.86
3,mul0,89.89,48.83,69.36,60.37,78007.5
4,mul1,89.94,48.98,69.46,60.46,78369.3
5,mul2,89.86,48.74,69.3,60.31,78160.2
6,mul3,89.91,49.17,69.54,60.55,78374.2
7,reg_Q0,48.83,48.83,48.83,48.83,12466.0
8,reg_Q1,51.04,51.04,51.04,51.04,12620.0
9,reg_Q2,49.84,49.84,49.84,49.84,12523.0
10,reg_Y,49.97,49.97,49.97,49.97,12001.0
11,zfir_8bit,89.89,49.97,49.97,49.97,426600.0
