,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,46.98,49.24,47.73,47.73,9280.81
1,add1,48.22,49.6,48.68,48.68,9543.09
2,add2,48.34,49.86,48.85,48.85,9581.37
3,mul0,54.84,46.93,50.88,45.39,49177.2
4,mul1,54.89,47.03,50.96,45.46,49381.9
5,mul2,54.94,47.21,51.08,45.58,49659.5
6,mul3,55.01,47.09,51.05,45.55,49495.9
7,reg_Q0,46.93,46.93,46.93,46.93,12304.0
8,reg_Q1,49.24,49.24,49.24,49.24,12471.0
9,reg_Q2,49.6,49.6,49.6,49.6,12503.0
10,reg_Y,49.86,49.86,49.86,49.86,11995.0
11,zfir_8bit,54.84,49.86,49.86,49.86,298160.0
