,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.11,49.32,47.84,47.84,9296.14
1,add1,48.15,49.45,48.59,48.59,9511.98
2,add2,48.28,49.98,48.85,48.85,9585.86
3,mul0,54.96,46.94,50.95,45.44,49664.0
4,mul1,54.99,47.27,51.13,45.64,49763.7
5,mul2,54.77,46.99,50.88,45.42,49334.3
6,mul3,54.88,47.12,51.0,45.52,49731.0
7,reg_Q0,46.94,46.94,46.94,46.94,12301.0
8,reg_Q1,49.32,49.32,49.32,49.32,12479.0
9,reg_Q2,49.45,49.45,49.45,49.45,12485.0
10,reg_Y,49.98,49.98,49.98,49.98,12001.0
11,zfir_8bit,54.96,49.98,49.98,49.98,298922.0
