,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,41.91,46.94,43.59,43.59,8715.98
1,add1,44.53,48.25,45.77,45.77,9123.51
2,add2,44.99,49.02,46.33,46.33,9227.65
3,mul0,24.98,41.83,33.4,30.91,24300.9
4,mul1,25.0,42.0,33.5,31.0,24624.3
5,mul2,25.18,42.12,33.65,31.14,24831.7
6,mul3,24.85,41.73,33.29,30.81,24334.0
7,reg_Q0,41.83,41.83,41.83,41.83,11869.0
8,reg_Q1,46.94,46.94,46.94,46.94,12280.0
9,reg_Q2,48.25,48.25,48.25,48.25,12383.0
10,reg_Y,49.02,49.02,49.02,49.02,11932.0
11,zfir_8bit,24.98,49.02,49.02,49.02,185836.0
