,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,39.86,45.73,41.82,41.82,8423.68
1,add1,42.66,47.69,44.34,44.34,8910.64
2,add2,43.69,48.65,45.35,45.35,9088.66
3,mul0,20.02,39.69,29.86,27.86,20691.4
4,mul1,20.14,40.03,30.08,28.07,20585.0
5,mul2,19.92,39.6,29.76,27.77,20342.2
6,mul3,20.07,39.71,29.89,27.88,20358.3
7,reg_Q0,39.69,39.69,39.69,39.69,11686.0
8,reg_Q1,45.73,45.73,45.73,45.73,12178.0
9,reg_Q2,47.69,47.69,47.69,47.69,12338.0
10,reg_Y,48.65,48.65,48.65,48.65,11905.0
11,zfir_8bit,20.02,48.65,48.65,48.65,166966.0
