,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.74,49.57,48.35,48.35,9343.88
1,add1,48.62,49.83,49.02,49.02,9600.45
2,add2,48.75,49.96,49.15,49.15,9644.41
3,mul0,65.73,47.65,56.69,50.1,58584.3
4,mul1,65.84,47.82,56.83,50.24,58580.1
5,mul2,65.78,47.69,56.73,50.16,58569.8
6,mul3,65.77,47.69,56.73,50.15,58771.7
7,reg_Q0,47.65,47.65,47.65,47.65,12363.0
8,reg_Q1,49.57,49.57,49.57,49.57,12499.0
9,reg_Q2,49.83,49.83,49.83,49.83,12518.0
10,reg_Y,49.96,49.96,49.96,49.96,12003.0
11,zfir_8bit,65.73,49.96,49.96,49.96,339080.0
