,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,41.97,46.96,43.63,43.63,8728.4
1,add1,44.42,48.37,45.74,45.74,9124.57
2,add2,45.23,48.95,46.47,46.47,9220.96
3,mul0,25.09,42.31,33.7,31.19,24564.7
4,mul1,24.86,41.64,33.25,30.75,24191.7
5,mul2,25.04,41.88,33.46,30.96,24529.0
6,mul3,25.09,42.09,33.59,31.08,24693.8
7,reg_Q0,42.31,42.31,42.31,42.31,11907.0
8,reg_Q1,46.96,46.96,46.96,46.96,12280.0
9,reg_Q2,48.37,48.37,48.37,48.37,12394.0
10,reg_Y,48.95,48.95,48.95,48.95,11927.0
11,zfir_8bit,25.09,48.95,48.95,48.95,185784.0
