,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,44.36,47.95,45.56,45.56,9003.74
1,add1,46.04,48.99,47.02,47.02,9281.94
2,add2,46.7,49.42,47.61,47.61,9358.97
3,mul0,33.26,44.4,38.83,35.51,31632.0
4,mul1,33.16,44.33,38.75,35.44,31887.7
5,mul2,33.27,44.14,38.7,35.39,31906.7
6,mul3,33.27,44.42,38.85,35.52,31776.4
7,reg_Q0,44.4,44.4,44.4,44.4,12084.0
8,reg_Q1,47.95,47.95,47.95,47.95,12361.0
9,reg_Q2,48.99,48.99,48.99,48.99,12449.0
10,reg_Y,49.42,49.42,49.42,49.42,11961.0
11,zfir_8bit,33.26,49.42,49.42,49.42,218827.0
