,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,47.18,49.15,47.84,47.84,9288.19
1,add1,48.13,49.74,48.67,48.67,9542.27
2,add2,48.32,49.91,48.85,48.85,9587.2
3,mul0,54.98,47.2,51.09,45.57,49800.7
4,mul1,54.9,47.16,51.03,45.52,49697.8
5,mul2,54.84,47.12,50.98,45.48,50002.6
6,mul3,54.96,46.9,50.93,45.43,49577.7
7,reg_Q0,47.2,47.2,47.2,47.2,12324.0
8,reg_Q1,49.15,49.15,49.15,49.15,12464.0
9,reg_Q2,49.74,49.74,49.74,49.74,12510.0
10,reg_Y,49.91,49.91,49.91,49.91,11996.0
11,zfir_8bit,54.98,49.91,49.91,49.91,299565.0
