,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,44.33,48.18,45.61,45.61,9030.67
1,add1,46.32,49.08,47.24,47.24,9333.6
2,add2,46.8,49.46,47.68,47.68,9364.33
3,mul0,33.33,44.12,38.72,35.4,31662.1
4,mul1,33.35,44.54,38.95,35.61,31939.3
5,mul2,33.53,44.47,39.0,35.65,31890.6
6,mul3,33.33,44.52,38.93,35.59,31744.2
7,reg_Q0,44.12,44.12,44.12,44.12,12063.0
8,reg_Q1,48.18,48.18,48.18,48.18,12381.0
9,reg_Q2,49.08,49.08,49.08,49.08,12457.0
10,reg_Y,49.46,49.46,49.46,49.46,11964.0
11,zfir_8bit,33.33,49.46,49.46,49.46,219000.0
