,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,39.81,45.81,41.81,41.81,8430.27
1,add1,42.84,47.85,44.51,44.51,8951.62
2,add2,43.88,48.45,45.4,45.4,9089.89
3,mul0,20.01,39.66,29.84,27.83,20277.3
4,mul1,20.02,39.97,29.99,28.0,20562.5
5,mul2,20.06,39.88,29.97,27.96,20527.9
6,mul3,19.99,39.91,29.95,27.95,20540.3
7,reg_Q0,39.66,39.66,39.66,39.66,11683.0
8,reg_Q1,45.81,45.81,45.81,45.81,12182.0
9,reg_Q2,47.85,47.85,47.85,47.85,12353.0
10,reg_Y,48.45,48.45,48.45,48.45,11889.0
11,zfir_8bit,20.01,48.45,48.45,48.45,166945.0
