,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,49.14,50.86,49.71,49.71,9542.35
1,add1,49.82,49.59,49.74,49.74,9707.64
2,add2,49.29,50.17,49.58,49.58,9728.94
3,mul0,89.93,49.12,69.52,60.52,78342.5
4,mul1,89.98,49.16,69.57,60.57,78321.6
5,mul2,89.97,48.79,69.38,60.38,78301.1
6,mul3,90.01,49.0,69.5,60.5,78378.9
7,reg_Q0,49.12,49.12,49.12,49.12,12488.0
8,reg_Q1,50.86,50.86,50.86,50.86,12604.0
9,reg_Q2,49.59,49.59,49.59,49.59,12500.0
10,reg_Y,50.17,50.17,50.17,50.17,12014.0
11,zfir_8bit,89.93,50.17,50.17,50.17,427075.0
