,Components,alpha_in,alpha_out,alpha_inout,alpha_inout_weight,power [nW]
0,add0,30.24,40.22,33.57,33.57,6872.49
1,add1,35.17,43.88,38.07,38.07,7822.96
2,add2,37.1,46.11,40.11,40.11,8186.23
3,mul0,9.9,29.99,19.95,18.96,11163.9
4,mul1,10.15,30.49,20.32,19.31,11552.8
5,mul2,9.96,30.12,20.04,19.04,11223.8
6,mul3,10.01,30.33,20.17,19.17,11443.7
7,reg_Q0,29.99,29.99,29.99,29.99,10863.0
8,reg_Q1,40.22,40.22,40.22,40.22,11710.0
9,reg_Q2,43.88,43.88,43.88,43.88,12018.0
10,reg_Y,46.11,46.11,46.11,46.11,11722.0
11,zfir_8bit,9.9,46.11,46.11,46.11,121502.0
